,name,youtube,avg_hashtag,avg_comment,avg_self_comment,post_interval,ppl_img_ratio,comment_user_num,lang_ratio
0,hun1188,UC-6FxcmnbyVeZaYc025I_xQ,1.4,1.3,10.6,0.128205128,0.67,"{'comment1': 4, 'comment2': 2, 'comment3': 0, 'comment4': 0, 'comment5': 1, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '84.62', 'emoji': '15.38'}"
1,hansangki0755,UC-IBt8pM8hWx8wiwjcDLdIQ,3.5,19.7,170.7,0.526315789,0.07,"{'comment1': 78, 'comment2': 23, 'comment3': 3, 'comment4': 1, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}",{'ko': '100.00'}
2,bellawithlucas,UC-Ju7Rpx4V9XsrLh2DXh9tw_1,1.6,11.7,11.2,0.256410256,0.85,"{'comment1': 46, 'comment2': 16, 'comment3': 1, 'comment4': 1, 'comment5': 3, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '73.50', 'emoji': '26.50'}"
3,lucas_d.h,UC-Ju7Rpx4V9XsrLh2DXh9tw_2,2.4,7,242.2,0.188679245,0.79,"{'comment1': 49, 'comment2': 18, 'comment3': 4, 'comment4': 2, 'comment5': 3, 'comment6': 1, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '93.33', 'emoji': '6.67'}"
4,bellaluv90,UC-Ju7Rpx4V9XsrLh2DXh9tw_3,2.3,7.7,16.7,0.192307692,0.95,"{'comment1': 33, 'comment2': 12, 'comment3': 2, 'comment4': 2, 'comment5': 0, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '81.82', 'emoji': '18.18'}"
5,24x01,UC0BPsIEZ5cMuedvzQO3J1jw,1.5,43.3,18.3,2.5,0.33,"{'comment1': 403, 'comment2': 54, 'comment3': 11, 'comment4': 6, 'comment5': 4, 'comment6': 3, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 2}","{'ko': '97.95', 'emoji': '2.05'}"
6,bnatv1004,UC0L2FaavWKVvAuXZi1oPFWQ,3.8,0.3,0,1.666666667,0.93,"{'comment1': 3, 'comment2': 0, 'comment3': 0, 'comment4': 0, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '66.67', 'emoji': '33.33'}"
7,serim.hong.50,UC0ssa8zC_3oif4iZcUe5VUg,3.6,28.9,0,0.625,0.81,"{'comment1': 229, 'comment2': 20, 'comment3': 9, 'comment4': 1, 'comment5': 0, 'comment6': 0, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '98.70', 'emoji': '1.30'}"
8,matsangmu,UC1r112Pr9Ngcg2NtcE946HQ,1.7,6.7,0,1.25,0.44,"{'comment1': 45, 'comment2': 6, 'comment3': 2, 'comment4': 1, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '98.51', 'emoji': '1.49'}"
9,josh_bamui,UC22gayxEPsQLhZXpHDjS8Qg,1.1,4.1,4.3,0.625,0.19,"{'comment1': 19, 'comment2': 0, 'comment3': 2, 'comment4': 0, 'comment5': 0, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 1, 'over_10': 0}","{'ko': '80.49', 'emoji': '19.51'}"
10,gdsfamily4,UC24BfKRQk_5uZomn0DxW2Ew,0.6,14.8,33.5,0.144927536,0.5,"{'comment1': 82, 'comment2': 12, 'comment3': 1, 'comment4': 2, 'comment5': 2, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '97.97', 'emoji': '2.03'}"
11,h_ue_,UC24ZdEFJvYvQwqnWJodWzng,0,52.3,92.1,0.769230769,0.45,"{'comment1': 309, 'comment2': 41, 'comment3': 12, 'comment4': 10, 'comment5': 1, 'comment6': 1, 'comment7': 1, 'comment8': 1, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '97.32', 'emoji': '2.68'}"
12,take_jung,UC2QeHNJFfuQWB4cy3M-745g,4.1,6,5.1,0.12345679,0.62,"{'comment1': 32, 'comment2': 9, 'comment3': 2, 'comment4': 1, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '96.67', 'emoji': '3.33'}"
13,dingo_movie,UC2dajIvSk458lj-0GNULGeA,4.3,7,0,0.833333333,0.89,"{'comment1': 64, 'comment2': 3, 'comment3': 1, 'comment4': 0, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '95.89', 'emoji': '4.11'}"
14,kobejeans,UC3l1qgrRx8vPan82wDc3kNg,8.8,6,67.9,0.243902439,0.42,"{'comment1': 25, 'comment2': 3, 'comment3': 1, 'comment4': 0, 'comment5': 0, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '96.67', 'emoji': '3.33'}"
15,dada_living,UC4ZOrJ0xNrUsVdX64M8atHQ,0,0.6,0,0.714285714,,"{'comment1': 0, 'comment2': 0, 'comment3': 0, 'comment4': 0, 'comment5': 0, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}",{'emoji': '100.00'}
16,72sectv,UC4u2X5QolYdz4faUfKRm3_w,0.1,4,8,0.0118623962,0,"{'comment1': 39, 'comment2': 4, 'comment3': 1, 'comment4': 0, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '98.00', 'emoji': '2.00'}"
17,euddeume_,UC4yq3FWEWqMvFNFBsV3gbKQ,0,16.9,0,1.666666667,0.83,"{'comment1': 89, 'comment2': 9, 'comment3': 6, 'comment4': 1, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '57.99', 'emoji': '42.01'}"
18,hyo_joo,UC5FOkD_OiUjgCOawXaK0wCg,11.8,7.2,36.7,0.181818182,1,"{'comment1': 169, 'comment2': 22, 'comment3': 2, 'comment4': 1, 'comment5': 2, 'comment6': 0, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '84.58', 'emoji': '15.42'}"
19,drgnlake,UC5Krj_2tLJgAyT7SwTsAIzQ,1.1,10.2,22.7,0.333333333,0.38,"{'comment1': 59, 'comment2': 11, 'comment3': 1, 'comment4': 0, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 1, 'comment9': 0, 'comment10': 1, 'over_10': 0}","{'ko': '95.10', 'emoji': '4.90'}"
20,seoyoungchoi_,UC5aNQ65ADb02zEJxzb_zmYQ,1.4,27.2,0,1.428571429,0.67,"{'comment1': 120, 'comment2': 23, 'comment3': 8, 'comment4': 4, 'comment5': 1, 'comment6': 2, 'comment7': 1, 'comment8': 1, 'comment9': 0, 'comment10': 1, 'over_10': 2}","{'ko': '83.72', 'emoji': '16.28'}"
21,cargirlmedia,UC8cscgG12KkR7-cOitqYQcg,19.9,5.5,3.7,0.113636364,0.19,"{'comment1': 38, 'comment2': 4, 'comment3': 0, 'comment4': 1, 'comment5': 1, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '85.45', 'emoji': '14.55'}"
22,seokgguchookggu,UC8valWz_8jFnX4tMGCeC62w,2.7,9.8,1.8,0.0260416667,0.78,"{'comment1': 60, 'comment2': 10, 'comment3': 4, 'comment4': 4, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '89.81', 'emoji': '10.19'}"
23,flowervin7,UC9JlObZnbOirT4_iyPGrdcw,2,64.5,13.1,0.227272727,0.9,"{'comment1': 328, 'comment2': 56, 'comment3': 20, 'comment4': 12, 'comment5': 3, 'comment6': 5, 'comment7': 5, 'comment8': 1, 'comment9': 1, 'comment10': 0, 'over_10': 0}","{'ko': '97.83', 'emoji': '2.17'}"
24,susansan0414,UC9edwufjEirbl9-2vns43VQ,0.6,16.6,166.2,0.714285714,0.82,"{'comment1': 83, 'comment2': 18, 'comment3': 3, 'comment4': 5, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '97.20', 'emoji': '2.80'}"
25,its.hanbyul,UC9gW47NqzI1x7e8qsflvUUw,0.3,29.5,0,0.384615385,0.8,"{'comment1': 194, 'comment2': 31, 'comment3': 8, 'comment4': 1, 'comment5': 1, 'comment6': 2, 'comment7': 0, 'comment8': 2, 'comment9': 0, 'comment10': 1, 'over_10': 1}","{'ko': '92.65', 'emoji': '7.35'}"
26,monkey.d.kihoon,UC9nFMAQcn0bqIrEV9vUdU1g,0.5,101.2,0,1.111111111,0.64,"{'comment1': 992, 'comment2': 126, 'comment3': 20, 'comment4': 6, 'comment5': 1, 'comment6': 0, 'comment7': 1, 'comment8': 0, 'comment9': 1, 'comment10': 0, 'over_10': 0}","{'ko': '97.33', 'emoji': '2.67'}"
27,djgreat77,UC9rpMzC-SjMSrxhQElZDzTw,4.9,9.5,29.8,1.428571429,0.7,"{'comment1': 39, 'comment2': 7, 'comment3': 1, 'comment4': 0, 'comment5': 1, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 2}","{'ko': '83.16', 'emoji': '16.84'}"
28,KoreanBilly,UCB9etEztDELjmiVu8kP5R-g,0.1,6.3,0,1.428571429,0.71,"{'comment1': 43, 'comment2': 1, 'comment3': 1, 'comment4': 0, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '73.02', 'emoji': '26.98'}"
29,funguypiano,UCBlkpX--7ZD73URbSC1oWRw,0,24.3,80.2,0.909090909,,"{'comment1': 145, 'comment2': 22, 'comment3': 6, 'comment4': 1, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 2}","{'ko': '79.01', 'emoji': '20.99'}"
30,ddantgong,UCCUfsf35PukA4gEsU2hTtQg,4.1,2.8,0,0.0925925926,0.3,"{'comment1': 23, 'comment2': 1, 'comment3': 1, 'comment4': 0, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '82.14', 'emoji': '17.86'}"
31,powermovie,UCCcE8BpgFqKRP3au8tEUrAw,3.6,7.5,4.7,0.105263158,0.75,"{'comment1': 47, 'comment2': 12, 'comment3': 3, 'comment4': 4, 'comment5': 1, 'comment6': 1, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '92.98', 'emoji': '7.02'}"
32,official_ripple,UCCjJV_nxuPQ_fWGkAkA46fA,1.2,25.8,0,0.0289855072,0.41,"{'comment1': 220, 'comment2': 21, 'comment3': 0, 'comment4': 1, 'comment5': 0, 'comment6': 2, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '97.12', 'emoji': '2.88'}"
33,itsjinakim,UCDMLdKoalJdyqKto6KahNGg,2.1,69.3,0,0.476190476,0.85,"{'comment1': 229, 'comment2': 66, 'comment3': 23, 'comment4': 12, 'comment5': 7, 'comment6': 1, 'comment7': 2, 'comment8': 2, 'comment9': 0, 'comment10': 1, 'over_10': 4}","{'ko': '82.07', 'emoji': '17.93'}"
34,coach_leesam,UCDVQ0yDp7Bu-BxEfelTHL8g,0.5,7.5,219.5,0.476190476,0.67,"{'comment1': 30, 'comment2': 3, 'comment3': 1, 'comment4': 1, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '87.21', 'emoji': '12.79'}"
35,vnjenny7,UCDdvY2ntkRKaul_OQT89jAQ,4.2,6.2,9.1,1,0.65,"{'comment1': 24, 'comment2': 7, 'comment3': 1, 'comment4': 4, 'comment5': 1, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '85.48', 'emoji': '14.52'}"
36,honza_nam_ytb,UCDzpa0rTkUzxhE6h6fMKOQA,5,1,10.8,0.238095238,0.3,"{'comment1': 6, 'comment2': 0, 'comment3': 0, 'comment4': 1, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '90.00', 'emoji': '10.00'}"
37,endears_o,UCENNpEHHCiZGb2dk1MHml7Q_1,2.6,190.9,0,0.384615385,0.67,"{'comment1': 1444, 'comment2': 183, 'comment3': 26, 'comment4': 2, 'comment5': 1, 'comment6': 0, 'comment7': 0, 'comment8': 1, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '98.95', 'emoji': '1.05'}"
38,joongwoojo,UCENNpEHHCiZGb2dk1MHml7Q_2,2.9,60.2,0,0.0421940928,0.78,"{'comment1': 416, 'comment2': 71, 'comment3': 12, 'comment4': 2, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '97.51', 'emoji': '2.49'}"
39,u12486,UCEwmUXNK69iAugMEahY7glA,2.3,52,51.5,0.144927536,0.46,"{'comment1': 291, 'comment2': 56, 'comment3': 10, 'comment4': 11, 'comment5': 2, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 1, 'comment10': 0, 'over_10': 1}","{'ko': '97.50', 'emoji': '2.50'}"
40,sungmyoungjun,UCFIeZnCOh_7JZAgJB3XaLXw,6.3,26.7,0,2.5,0.78,"{'comment1': 180, 'comment2': 19, 'comment3': 6, 'comment4': 1, 'comment5': 0, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '86.14', 'emoji': '13.86'}"
41,blueskyh2,UCFUpTxU3nlGed-suY-FjjxA,0.4,36.2,3.6,0.4,0.45,"{'comment1': 237, 'comment2': 34, 'comment3': 13, 'comment4': 3, 'comment5': 0, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '97.51', 'emoji': '2.49'}"
42,lovelyswimmer,UCFzE-bjCCY-F5wmiRS2NuRg,2.3,28.1,116.1,1.111111111,0.93,"{'comment1': 123, 'comment2': 34, 'comment3': 9, 'comment4': 4, 'comment5': 1, 'comment6': 1, 'comment7': 1, 'comment8': 0, 'comment9': 1, 'comment10': 0, 'over_10': 1}","{'ko': '97.67', 'emoji': '2.33'}"
43,iluliy,UCG0JecZ4QvGGfO-asHGhCIA,2.1,12.8,49.5,0.476190476,0.6,"{'comment1': 50, 'comment2': 12, 'comment3': 5, 'comment4': 2, 'comment5': 2, 'comment6': 2, 'comment7': 1, 'comment8': 1, 'comment9': 1, 'comment10': 0, 'over_10': 1}","{'ko': '92.86', 'emoji': '7.14'}"
44,dragon_stone11,UCHej63OZm3dh16McbdieEFQ,0.9,62.8,0,0.15625,0.43,"{'comment1': 528, 'comment2': 37, 'comment3': 4, 'comment4': 1, 'comment5': 2, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '78.34', 'emoji': '21.66'}"
45,yan.youtube,UCHpIHu4LzmNuD8bsE6mZLSA,2.4,22.8,160.2,0.333333333,0.89,"{'comment1': 239, 'comment2': 32, 'comment3': 19, 'comment4': 10, 'comment5': 2, 'comment6': 2, 'comment7': 2, 'comment8': 1, 'comment9': 0, 'comment10': 1, 'over_10': 1}","{'ko': '96.79', 'emoji': '3.21'}"
46,leeseol00,UCHqvLC2ilL2M4_SpoFiWtuQ,0,0,0,0.526315789,1,"{'comment1': 0, 'comment2': 0, 'comment3': 0, 'comment4': 0, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}",{}
47,coco20002,UCI5NWzolgDXp6-zeZ3wQ88A,0,155.3,0,0.333333333,0.73,"{'comment1': 760, 'comment2': 144, 'comment3': 54, 'comment4': 23, 'comment5': 9, 'comment6': 8, 'comment7': 3, 'comment8': 2, 'comment9': 6, 'comment10': 2, 'over_10': 2}","{'ko': '79.01', 'emoji': '20.99'}"
48,jk_tv,UCIB_oNqi62rKnPFb3Toaozw,3,12.6,0,0.147058824,0.94,"{'comment1': 46, 'comment2': 7, 'comment3': 3, 'comment4': 2, 'comment5': 0, 'comment6': 1, 'comment7': 1, 'comment8': 1, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '76.19', 'emoji': '23.81'}"
49,classsytv,UCJCNS4-1Bff7H2fzuUCZzig,8.7,3.9,0,0.769230769,0.81,"{'comment1': 48, 'comment2': 5, 'comment3': 2, 'comment4': 0, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 1, 'over_10': 0}","{'ko': '85.14', 'emoji': '14.86'}"
50,jwvid,UCJCqV1PsakBbjD0DI6KJIgQ,0.2,14.5,0,0.172413793,0.53,"{'comment1': 76, 'comment2': 13, 'comment3': 3, 'comment4': 2, 'comment5': 2, 'comment6': 2, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '74.36', 'emoji': '25.64'}"
51,the_edit.co.kr,UCJKZoVf3RIMfFffjdseqdEg,0,11.9,0,1.666666667,0.21,"{'comment1': 94, 'comment2': 3, 'comment3': 4, 'comment4': 0, 'comment5': 0, 'comment6': 0, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '91.60', 'emoji': '8.40'}"
52,dctube601,UCJQDi71H00IXCQbxAtFem3Q,1.8,1.7,0,0.10989011,0,"{'comment1': 5, 'comment2': 2, 'comment3': 0, 'comment4': 0, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 1, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '52.94', 'emoji': '47.06'}"
